Source_File	Sample_Name	Sample_Replica	Sample_Type	Group	Experiment
HF2_YS_14535_1046_18082021.raw	SCC1	1	ko	A375	SCC1 1 HLA-I
HF2_YS_14535_1047_18082021.raw	SCC1	2	ko	A375	SCC1 2 HLA-I
HF2_YS_14535_1048_18082021.raw	SCC1	3	ko	A375	SCC1 3 HLA-I
HF2_YS_14535_1050_18082021.raw	SCC2	1	ko	A375	SCC2 1 HLA-I
HF2_YS_14535_1051_18082021.raw	SCC2	2	ko	A375	SCC2 2 HLA-I
HF2_YS_14535_1052_18082021.raw	SCC2	3	ko	A375	SCC2 3 HLA-I
HF2_YS_14535_1054_18082021.raw	SCC7	1	ko	A375	SCC7 1 HLA-I
HF2_YS_14535_1055_18082021.raw	SCC7	2	ko	A375	SCC7 2 HLA-I
HF2_YS_14535_1056_18082021.raw	SCC7	3	ko	A375	SCC7 3 HLA-I
HF2_YS_14535_1042_18082021.raw	WT	1	wt	A375	WT 1 HLA-I
HF2_YS_14535_1043_18082021.raw	WT	2	wt	A375	WT 2 HLA-I
HF2_YS_14535_1044_18082021.raw	WT	3	wt	A375	WT 3 HLA-I
